,DataBases,Spots,% Relevance
0,Oracle ,1270.35,17.561382239136712
1,MySQL ,1219.77,16.862161777330492
2,Microsoft SQL Server ,970.61,13.417761416246298
3,PostgreSQL ,586.97,8.114302777113455
4,MongoDB ,493.55,6.82286000246068
5,Redis ,171.35,2.368751010883675
6,IBM Db2,165.96,2.294239380018994
7,Elasticsearch,158.25,2.1876559525669186
8,SQLite ,129.37,1.7884173812548643
9,Cassandra ,119.28,1.6489327142002026
10,Microsoft Access,116.38,1.6088429684659586
11,MariaDB ,102.59,1.4182093154745037
12,Splunk,90.61,1.2525971934413176
13,Hive ,84.74,1.1714500184551069
14,Microsoft Azure SQL Database,79.72,1.102053286184106
15,Amazon DynamoDB ,76.55,1.0582310468815015
16,Teradata ,69.83,0.9653334291800817
17,Snowflake ,58.26,0.8053891677507025
18,Neo4j ,57.87,0.7999977881519593
19,SAP HANA ,55.28,0.764193497996204
20,FileMaker,52.84,0.7304628153784265
21,Solr,51.17,0.7073766514556034
22,SAP Adaptive Server,48.59,0.6717106018023796
23,HBase ,45.2,0.624847071444074
24,Google BigQuery ,43.79,0.6053551605870797
25,Microsoft Azure Cosmos DB ,40.29,0.5569709847009235
26,PostGIS,31.64,0.4373929500108518
27,InfluxDB ,28.52,0.39426191322090687
28,Couchbase ,27.91,0.38582924256646256
29,Firebird,26.03,0.3598400280904701
30,Memcached,26.02,0.3597017875879382
31,Amazon Redshift ,24.27,0.3355096996448601
32,Informix,23.12,0.3196120418536945
33,Spark SQL ,22.94,0.3171237128081208
34,Vertica ,20.31,0.2807664606422377
35,Netezza,19.62,0.27122786596753834
36,Firebase Realtime Database,19.02,0.2629334358156259
37,Impala,18.68,0.2582332587295421
38,Microsoft Azure Synapse Analytics,17.27,0.23874134787254778
39,CouchDB,15.79,0.2182817534978303
40,dBASE,14.19,0.19616327309273032
41,Greenplum,13.07,0.18068033680916037
42,Presto,12.74,0.17611840022560848
43,Amazon Aurora,11.69,0.16160314745976165
44,ClickHouse,10.68,0.14764085670404228
45,etcd,10.19,0.1408670720799804
46,H2,9.72,0.1343697684609823
47,Hazelcast ,9.66,0.13354032544579106
48,MarkLogic ,9.43,0.13036079388755792
49,Realm ,9.29,0.12842542685211167
50,Datastax Enterprise ,9.13,0.1262135788116017
51,Oracle Essbase,8.41,0.11626026262930671
52,Google Cloud Firestore,8.37,0.1157073006191792
53,Kdb+ ,8.0,0.11059240202549983
54,Sphinx,7.61,0.10520102242675673
55,Algolia,7.61,0.10520102242675673
56,Microsoft Azure Search,6.99,0.0966301112697805
57,Ehcache,6.94,0.09593890875712112
58,Prometheus,6.64,0.09179169368116485
59,CockroachDB ,6.63,0.091653453178633
60,Interbase,6.29,0.08695327609254924
61,Jackrabbit,5.91,0.081700136996338
62,Riak KV,5.88,0.08128541548874238
63,SingleStore ,5.74,0.07935004845329613
64,SAP SQL Anywhere,5.68,0.07852060543810488
65,Microsoft Azure Data Explorer ,5.67,0.07838236493557302
66,Graphite,5.5,0.07603227639253114
67,Ingres,5.5,0.07603227639253114
68,Ignite,5.41,0.07478811186974427
69,OpenEdge,5.33,0.07368218784948927
70,Microsoft Azure Table Storage,5.25,0.07257626382923427
71,Aerospike ,5.13,0.07091737779885177
72,SAP IQ,4.71,0.06511127669251303
73,Virtuoso ,4.69,0.06483479568744928
74,Derby,4.66,0.06442007417985365
75,HyperSQL,4.6,0.0635906311646624
76,MaxDB,4.52,0.0624847071444074
77,ArangoDB ,4.45,0.061517023626684285
78,Adabas,4.45,0.061517023626684285
79,Google Cloud Datastore,4.43,0.061240542621620535
80,"UniData,UniVerse",4.19,0.05792277056085555
81,OrientDB,4.05,0.055987403525409284
82,Oracle NoSQL,4.03,0.05571092252034555
83,TimescaleDB ,3.96,0.054743239002622415
84,Accumulo,3.89,0.05377555548489929
85,SAP Advantage Database Server,3.89,0.05377555548489929
86,RocksDB,3.82,0.05280787196717617
87,EXASOL,3.81,0.052669631464644304
88,IBM Cloudant,3.71,0.051287226439325546
89,ScyllaDB ,3.7,0.05114898593679368
90,Google Cloud Bigtable,3.64,0.05031954292160243
91,Apache Druid,3.44,0.04755473287096493
92,Google Cloud Spanner,3.32,0.04589584684058243
93,RavenDB ,3.21,0.04437520131273181
94,Apache Phoenix,3.11,0.04299279628741306
95,RethinkDB,3.09,0.04271631528234931
96,InterSystems Caché,3.08,0.04257807477981743
97,LevelDB,2.9,0.04008974573424369
98,Oracle Berkeley DB,2.86,0.03953678372411619
99,PouchDB,2.86,0.03953678372411619
100,Apache Jena - TDB,2.79,0.03856910020639307
101,4D,2.78,0.03843085970386119
102,Infinispan,2.77,0.03829261920132932
103,TiDB ,2.69,0.037186695181074314
104,GraphDB ,2.65,0.03663373317094682
105,LMDB,2.61,0.03608077116081932
106,IMS,2.59,0.03580429015575557
107,Oracle Coherence,2.59,0.03580429015575557
108,EDB Postgres ,2.55,0.03525132814562807
109,JanusGraph,2.52,0.034836606638032445
110,Apache Drill,2.49,0.03442188513043683
111,Percona Server for MySQL,2.44,0.033730682617777445
112,Amazon Neptune,2.39,0.03303948010511808
113,RRDtool,2.28,0.03151883457726745
114,Amazon SimpleDB,2.2,0.03041291055701246
115,CloudKit,2.17,0.02999818904941683
116,Amazon CloudSearch,2.14,0.029583467541821205
117,Trino,2.09,0.02889226502916183
118,Tibero,2.01,0.027786341008906833
119,TigerGraph ,1.99,0.027509860003843083
120,SpatiaLite,1.96,0.02709513849624746
121,Stardog ,1.93,0.026680416988651836
122,MonetDB ,1.92,0.02654217648611996
123,OpenTSDB,1.86,0.025712733470928714
124,TimesTen,1.85,0.02557449296839684
125,mSQL,1.84,0.025436252465864964
126,Datomic,1.82,0.025159771460801214
127,IBM Db2 warehouse,1.78,0.024606809450673714
128,Dgraph ,1.74,0.024053847440546214
129,VoltDB,1.72,0.023777366435482464
130,InterSystems IRIS,1.72,0.023777366435482464
131,jBASE,1.7,0.023500885430418714
132,GridGain,1.67,0.023086163922823092
133,Db4o,1.67,0.023086163922823092
134,Geode,1.59,0.021980239902568095
135,Fauna,1.57,0.021703758897504345
136,Tarantool ,1.56,0.021565518394972467
137,BaseX,1.55,0.02142727789244059
138,Citus,1.48,0.02045959437471747
139,1010data,1.48,0.02045959437471747
140,ObjectStore,1.47,0.020321353872185595
141,Amazon DocumentDB,1.44,0.01990663236458997
142,GT.M,1.43,0.019768391862058095
143,Empress,1.38,0.01907718934939872
144,Apache Kylin ,1.36,0.018800708344334973
145,FoundationDB,1.35,0.018662467841803098
146,Actian NoSQL Database,1.32,0.018247746334207473
147,Mnesia,1.32,0.018247746334207473
148,SQLBase,1.31,0.018109505831675598
149,HFSQL,1.3,0.017971265329143726
150,GridDB ,1.3,0.017971265329143726
151,Giraph,1.28,0.017694784324079976
152,Datameer,1.26,0.017418303319016223
153,AllegroGraph ,1.25,0.017280062816484348
154,Model 204,1.24,0.017141822313952473
155,Oracle Rdb,1.24,0.017141822313952473
156,OmniSci ,1.23,0.017003581811420598
157,YugabyteDB ,1.22,0.016865341308888723
158,Infobright,1.18,0.016312379298761226
159,LiteDB,1.17,0.01617413879622935
160,SQL.JS,1.15,0.0158976577911656
161,Nebula Graph ,1.14,0.015759417288633726
162,NonStop SQL,1.14,0.015759417288633726
163,Cubrid,1.14,0.015759417288633726
164,DataEase,1.1,0.01520645527850623
165,D3,1.08,0.014929974273442477
166,DolphinDB,1.08,0.014929974273442477
167,NuoDB,1.07,0.014791733770910602
168,IDMS,1.07,0.014791733770910602
169,Altibase,1.06,0.01465349326837873
170,HAWQ,1.05,0.014515252765846856
171,Objectivity/DB,1.05,0.014515252765846856
172,GemStone/S,1.04,0.014377012263314979
173,GBase,1.04,0.014377012263314979
174,ZODB,0.99,0.013685809750655604
175,Matisse,0.96,0.01327108824305998
176,Sedna,0.96,0.01327108824305998
177,NCache ,0.93,0.012856366735464357
178,EventStoreDB ,0.93,0.012856366735464357
179,CrateDB ,0.92,0.012718126232932482
180,FrontBase,0.92,0.012718126232932482
181,Datacom/DB,0.92,0.012718126232932482
182,Blazegraph,0.91,0.012579885730400607
183,HPE Ezmeral Data Fabric,0.91,0.012579885730400607
184,ObjectBox,0.9,0.012441645227868732
185,Amazon Timestream,0.88,0.012165164222804982
186,Alibaba Cloud MaxCompute,0.88,0.012165164222804982
187,solidDB,0.86,0.011888683217741232
188,Kognitio,0.85,0.011750442715209357
189,Graph Engine,0.85,0.011750442715209357
190,DBISAM,0.84,0.011612202212677484
191,Actian Vector,0.83,0.011473961710145607
192,BigchainDB,0.82,0.011335721207613732
193,TypeDB ,0.82,0.011335721207613732
194,Alibaba Cloud AnalyticDB for MySQL ,0.81,0.011197480705081858
195,Xapian,0.8,0.011059240202549985
196,Splice Machine,0.79,0.01092099970001811
197,HarperDB ,0.77,0.010644518694954358
198,GeoMesa,0.76,0.010506278192422485
199,KairosDB,0.75,0.01036803768989061
200,Yellowbrick,0.75,0.01036803768989061
201,OpenBase,0.74,0.010229797187358735
202,eXist-db,0.73,0.01009155668482686
203,Kinetica ,0.73,0.01009155668482686
204,ScaleArc,0.73,0.01009155668482686
205,QuestDB ,0.71,0.00981507567976311
206,Alibaba Cloud ApsaraDB for PolarDB ,0.7,0.009676835177231235
207,WebSphere eXtreme Scale,0.7,0.009676835177231235
208,Postgres-XL,0.69,0.00953859467469936
209,R:BASE,0.69,0.00953859467469936
210,eXtremeDB ,0.69,0.00953859467469936
211,SciDB,0.68,0.009400354172167487
212,Dolt,0.68,0.009400354172167487
213,RDF4J,0.66,0.009123873167103736
214,SQream DB,0.66,0.009123873167103736
215,Percona Server for MongoDB,0.65,0.008985632664571863
216,ObjectDB,0.64,0.008847392162039988
217,Jade,0.64,0.008847392162039988
218,AlaSQL,0.64,0.008847392162039988
219,Elassandra,0.63,0.008709151659508111
220,Rockset,0.63,0.008709151659508111
221,Alibaba Cloud AnalyticDB for PostgreSQL,0.63,0.008709151659508111
222,NexusDB,0.61,0.008432670654444361
223,Perst,0.6,0.008294430151912488
224,LokiJS,0.6,0.008294430151912488
225,Tokyo Tyrant,0.57,0.007879708644316863
226,BoltDB,0.57,0.007879708644316863
227,Alibaba Cloud Log Service ,0.56,0.00774146814178499
228,VistaDB,0.56,0.00774146814178499
229,MapDB,0.55,0.007603227639253115
230,Yandex Database,0.54,0.007464987136721239
231,VictoriaMetrics ,0.54,0.007464987136721239
232,OpenInsight,0.53,0.007326746634189365
233,Amazon Keyspaces,0.52,0.0071885061316574895
234,Trafodion,0.5,0.006912025126593739
235,GigaSpaces InsightEdge ,0.5,0.006912025126593739
236,IBM Db2 Event Store,0.48,0.00663554412152999
237,4store,0.48,0.00663554412152999
238,TDSQL for MySQL,0.47,0.006497303618998115
239,Rasdaman,0.47,0.006497303618998115
240,Scalaris,0.46,0.006359063116466241
241,Raima Database Manager,0.46,0.006359063116466241
242,InfiniteGraph,0.46,0.006359063116466241
243,Hibari,0.45,0.006220822613934366
244,Sequoiadb,0.45,0.006220822613934366
245,Faircom DB ,0.44,0.006082582111402491
246,Redland,0.43,0.005944341608870616
247,ModeShape,0.42,0.005806101106338742
248,Mimer SQL,0.42,0.005806101106338742
249,Northgate Reality,0.42,0.005806101106338742
250,Alibaba Cloud Table Store,0.41,0.005667860603806866
251,Project Voldemort,0.4,0.005529620101274993
252,Brytlyt,0.39,0.005391379598743117
253,OpenQM,0.39,0.005391379598743117
254,Lovefield,0.39,0.005391379598743117
255,Starcounter,0.39,0.005391379598743117
256,Kyligence Enterprise ,0.38,0.0052531390962112425
257,atoti,0.38,0.0052531390962112425
258,Tajo,0.36,0.0049766580911474925
259,SearchBlox,0.36,0.0049766580911474925
260,TDengine ,0.36,0.0049766580911474925
261,Kingbase ,0.35,0.004838417588615617
262,PipelineDB,0.33,0.004561936583551868
263,Alibaba Cloud TSDB,0.33,0.004561936583551868
264,KeyDB,0.31,0.004285455578488118
265,AnzoGraph DB,0.3,0.004147215075956244
266,Tibco ComputeDB,0.3,0.004147215075956244
267,Axibase,0.3,0.004147215075956244
268,FlockDB,0.29,0.004008974573424369
269,Fluree,0.28,0.003870734070892495
270,Milvus,0.28,0.003870734070892495
271,Valentina Server,0.27,0.0037324935683606193
272,EJDB,0.27,0.0037324935683606193
273,Comdb2,0.27,0.0037324935683606193
274,Memgraph ,0.27,0.0037324935683606193
275,TerminusDB,0.24,0.003317772060764995
276,Actian FastObjects,0.24,0.003317772060764995
277,M3DB,0.24,0.003317772060764995
278,EsgynDB,0.24,0.003317772060764995
279,LeanXcale ,0.24,0.003317772060764995
280,GeoSpock,0.23,0.0031795315582331205
281,Riak TS,0.23,0.0031795315582331205
282,HyperGraphDB,0.23,0.0031795315582331205
283,Faircom EDGE,0.23,0.0031795315582331205
284,Transbase,0.22,0.0030412910557012455
285,Apache Doris,0.22,0.0030412910557012455
286,NEventStore,0.2,0.0027648100506374963
287,Quasardb ,0.19,0.0026265695481056213
288,ElevateDB,0.18,0.0024883290455737462
289,Apache IoTDB,0.18,0.0024883290455737462
290,DuckDB,0.18,0.0024883290455737462
291,Weaviate,0.18,0.0024883290455737462
292,H2GIS,0.17,0.0023500885430418716
293,Warp 10,0.16,0.002211848040509997
294,TinkerGraph,0.16,0.002211848040509997
295,Strabon,0.15,0.002073607537978122
296,XtremeData,0.15,0.002073607537978122
297,CubicWeb,0.15,0.002073607537978122
298,TransLattice,0.14,0.0019353670354462474
299,STSdb,0.14,0.0019353670354462474
300,Sparksee,0.14,0.0019353670354462474
301,Badger,0.14,0.0019353670354462474
302,Mulgara,0.13,0.0017971265329143724
303,Cloudflare Workers KV,0.13,0.0017971265329143724
304,Actian PSQL,0.13,0.0017971265329143724
305,ITTIA,0.13,0.0017971265329143724
306,HugeGraph,0.12,0.0016588860303824976
307,Blueflood,0.11,0.0015206455278506227
308,Manticore Search,0.11,0.0015206455278506227
309,VelocityDB,0.1,0.0013824050253187481
310,BigObject,0.09,0.0012441645227868731
311,Bangdb ,0.09,0.0012441645227868731
312,SenseiDB,0.08,0.0011059240202549985
313,ArcadeDB,0.07,0.0009676835177231237
314,Heroic,0.07,0.0009676835177231237
315,Kyoto Tycoon,0.07,0.0009676835177231237
316,BrightstarDB,0.07,0.0009676835177231237
317,Dydra,0.07,0.0009676835177231237
318,Elliptics,0.06,0.0008294430151912488
319,GraphBase,0.06,0.0008294430151912488
320,DensoDB,0.06,0.0008294430151912488
321,Immudb,0.05,0.0006912025126593741
322,AgensGraph,0.05,0.0006912025126593741
323,Machbase ,0.05,0.0006912025126593741
324,Exorbyte,0.05,0.0006912025126593741
325,WakandaDB,0.05,0.0006912025126593741
326,SwayDB,0.04,0.0005529620101274993
327,XTDB,0.04,0.0005529620101274993
328,WhiteDB,0.04,0.0005529620101274993
329,RaptorDB,0.04,0.0005529620101274993
330,JethroData,0.04,0.0005529620101274993
331,Hawkular Metrics,0.04,0.0005529620101274993
332,LedisDB,0.04,0.0005529620101274993
333,SiteWhere,0.03,0.0004147215075956244
334,NosDB,0.03,0.0004147215075956244
335,FinchDB,0.03,0.0004147215075956244
336,Linter,0.03,0.0004147215075956244
337,InfinityDB,0.03,0.0004147215075956244
338,ToroDB,0.02,0.00027648100506374963
339,SmallSQL,0.02,0.00027648100506374963
340,TerarkDB,0.02,0.00027648100506374963
341,HGraphDB,0.01,0.00013824050253187481
342,RedStore,0.01,0.00013824050253187481
343,ScaleOut StateServer,0.01,0.00013824050253187481
344,RDFox,0.01,0.00013824050253187481
345,Yaacomo,0.01,0.00013824050253187481
346,Siaqodb,0.01,0.00013824050253187481
347,JaguarDB ,0.0,0.0
348,JasDB,0.0,0.0
349,NSDb,0.0,0.0
350,CortexDB,0.0,0.0
351,Sadas Engine,0.0,0.0
352,ActorDB,0.0,0.0
353,BergDB,0.0,0.0
354,Cachelot.io,0.0,0.0
355,CovenantSQL,0.0,0.0
356,DaggerDB,0.0,0.0
357,Edge Intelligence,0.0,0.0
358,EdgelessDB,0.0,0.0
359,Eloquera,0.0,0.0
360,Helium,0.0,0.0
361,HyperLevelDB,0.0,0.0
362,Hyprcubd,0.0,0.0
363,iBoxDB,0.0,0.0
364,Indica,0.0,0.0
365,IRONdb,0.0,0.0
366,K-DB,0.0,0.0
367,Newts,0.0,0.0
368,OrigoDB,0.0,0.0
369,Resin Cache,0.0,0.0
370,Rizhiyi,0.0,0.0
371,searchxml,0.0,0.0
372,SiriDB,0.0,0.0
373,SpaceTime,0.0,0.0
374,SparkleDB,0.0,0.0
375,SWC-DB,0.0,0.0
376,Tkrzw,0.0,0.0
377,TomP2P,0.0,0.0
378,Upscaledb,0.0,0.0
379,Yanza,0.0,0.0
